x,y,t,z,target
2.506940094480921033e+00,3.131381872274176636e+00,4.199648406256091815e-01,2.993774586417397465e+00,5.610136757954461290e-03
3.964393155068797192e+00,2.926612891877263589e+00,3.455495258305047557e+00,3.577983575933286975e+00,1.728406097716741335e-02
1.372120457033853880e+00,1.650201220204813746e+00,7.066573043816275490e-01,2.589470757474672702e+00,3.981105375875084937e-03
3.037837485669419024e+00,5.438765488660061154e-01,6.291235136968291730e-01,3.212267099446648455e+00,2.048028230926312112e-04
1.661421269388902999e+00,2.650943234721774733e+00,2.843022701153542275e+00,2.452773810803455579e+00,3.213623737078635800e-02
2.998056394098074784e-01,1.060255088730768680e+00,1.698668399411826790e+00,3.436000141645936812e-01,7.219263561780075653e-03
1.411480776480024124e+00,7.289652426995494316e-01,3.433046014507010302e+00,1.630884508442189240e+00,3.417490390227538675e-03
1.553226274532996110e+00,2.678011926484571426e+00,3.536112997867814745e+00,2.205494796526132006e+00,4.041269892152529741e-02
8.072686455256609106e-01,4.022249068549719198e-01,3.766135004544857612e+00,1.085835283676794605e+00,1.419709273857043281e-03
8.382300072317263595e-01,2.705402772091631380e+00,1.411298068771712488e+00,2.553775632316487521e+00,2.421813354140389327e-02
1.245377920744318523e+00,2.844407270147923050e+00,3.946162727764221057e+00,5.840311531710490334e-01,6.750439900465111942e-02
2.719487518581605201e+00,2.178165057218167000e+00,2.568569955818932993e+00,2.723450546252126347e+00,1.394451893962824103e-02
3.677091266736862263e+00,3.768212259497648819e+00,3.734118053503461265e+00,2.340766863605847625e+00,4.231895464661036832e-02
2.867937225724603412e+00,6.569717926018640852e-02,9.348512770452459542e-01,8.790198158497940506e-01,7.064172353402127235e-06
3.925616017448882999e+00,3.966487703217919325e+00,2.620160575298092098e+00,2.285014128514617493e+00,3.575663087428170711e-02
2.993260893188999905e+00,3.330591493351501065e+00,3.872783066241718863e+00,1.899976206769739884e+00,4.495423500526346539e-02
1.155787915208455585e+00,2.608699290311859986e-01,1.289447075442576862e+00,1.795680299879225839e+00,2.187896229721560072e-04
5.244286352052639488e-01,8.419872512309252155e-01,3.814160725745271208e+00,1.439589171743329565e+00,6.470012037994014864e-03
2.934194571329134860e+00,3.150176478630640209e-01,3.937612631292184417e-01,1.334542682479664677e+00,6.437896684268203215e-05
1.791644986056375899e+00,1.823487499995485983e+00,1.490003464693855140e+00,3.591312160506250795e+00,6.935431266459668280e-03
2.792760393580515643e+00,3.375829073151203286e+00,2.094484157725278628e+00,1.463895556649631224e+00,3.581265637811880537e-02
2.344792905132639049e+00,6.129340494326184219e-01,1.758074728800179010e+00,3.548143028605348803e+00,7.720184205753021986e-04
1.902278107594017609e+00,3.379989116375010205e+00,2.129964528310475558e+00,2.707011755475251302e+00,3.753295690229309367e-02
4.729162405882877951e-01,3.676391871348464457e-01,3.656201639577009388e+00,2.086396100845746115e+00,1.096140511055299863e-03
1.710432996209457990e+00,3.586765846446100969e+00,1.091272281056365978e+00,1.010092742867237658e-01,3.711216221429054080e-02
1.316438819755131995e+00,3.711564159128175611e+00,2.069152075211599051e+00,3.482595245313132803e+00,4.459507542868011709e-02
2.459580972472625304e-01,1.450930683908452146e+00,2.208142887673401500e+00,6.381412882615898896e-01,1.649931636066893220e-02
3.461584966271828989e+00,2.374656960602255840e+00,7.287200111283607118e-01,2.738566695167518716e+00,4.396345034527045573e-03
2.890393720426838176e-01,2.584742048619395938e+00,1.163780447866694878e+00,1.555747242556925425e+00,2.642047276387243099e-02
2.588283478318639919e+00,2.954830509565319341e-01,9.965506704430745488e-01,1.247161312942189904e+00,1.571876502524323686e-04
5.101199908593282428e-01,6.698810354201570894e-01,3.241491866358046980e+00,1.567139874697677238e+00,3.703284935024417530e-03
5.442465426765435987e-01,6.340260437952015549e-01,1.527922224696742104e+00,1.786176361513421407e+00,1.808945909317515120e-03
1.041364743748295130e+00,1.331782271782071980e+00,3.043620063452195268e+00,2.810541778678474323e+00,9.449972313195165174e-03
1.148573824419008682e+00,5.605745771240231434e-01,3.314841742672969715e+00,1.925792098017474752e+00,2.036997310177456662e-03
3.406411854486875335e+00,5.884231860325156438e-01,3.358820981752315582e+00,1.542498375571762281e+00,1.227372881924011045e-03
1.995407056690988057e+00,2.775000673592432854e+00,3.150622653022420727e-01,2.864289778648362095e+00,3.972561590471416007e-03
3.580892348847816820e+00,3.548543473843428053e+00,6.544940189697541211e-01,2.953294954885029799e+00,8.146206588709313523e-03
1.664974660037028320e+00,3.073721426197029594e+00,2.511413363904650087e+00,5.955620536442882695e-01,5.338120821236348734e-02
2.788720607162866738e+00,3.523131935836245177e+00,1.660486218996496177e+00,2.406985919490831183e+00,2.717499035464833804e-02
2.923348866406322966e+00,1.978062467277618808e+00,3.032129843650739787e+00,4.351685220102278762e-01,1.741720686178436714e-02
1.055400960947014521e+00,1.179337312841578778e-01,1.677093362239330476e+00,3.254835142327948017e+00,4.307123397713871109e-05
4.917687696491450655e-01,1.461908085701492999e+00,3.256248556800558802e+00,2.688513670812523682e+00,1.433894576100046454e-02
1.437988864155655522e+00,1.719623379747884595e+00,1.053548323756693827e+00,1.176847538855927633e+00,8.001085284201904860e-03
3.222250352283452468e+00,2.534585018539329493e+00,1.932395948902400296e+00,7.868097834196904339e-01,1.826956214547173149e-02
2.276569861213942225e+00,3.565270027278533593e+00,2.647623801292481094e+00,1.973587428436630598e+00,5.067663423465639666e-02
3.346614255684627337e-01,2.872395673097167812e+00,1.259948052643490746e+00,1.426327006666872343e-01,4.093798341562240872e-02
3.264851356254971471e+00,3.732631820198001993e+00,1.582662696437292071e+00,3.642563639084507976e+00,1.947772535460793458e-02
3.396847401421181800e+00,1.467225121632952600e+00,3.891313420172741289e+00,1.473326928237786770e+00,8.332153764693256762e-03
1.297841711927159025e+00,1.093932917061852139e+00,3.384105628613009453e-01,2.096391003014807186e+00,9.572452189401044502e-04
3.342214143525537473e+00,2.080925633338475578e+00,3.551421347219633873e+00,3.494386806502078890e+00,1.087369587992659779e-02
1.250249870270712105e+00,1.258490878132223767e-01,9.735112116196237286e-01,7.990931644650226540e-01,4.418012543613217806e-05
3.783066248314419511e-01,2.622018631315468529e+00,2.860748124739537435e+00,8.450652993358369336e-02,6.511924445594399757e-02
3.424457855521226168e+00,3.425024420884382081e+00,9.863601536696992023e-01,1.549676467231585919e+00,1.553309959981290407e-02
2.649619236745005768e+00,3.039122111694589012e+00,3.546948523506661122e-01,1.490502873384486893e-01,6.717549804383806701e-03
2.491335114948759255e+00,3.231437332967356468e+00,4.352978198784446251e-02,2.676702575436552323e+00,6.696894069128232112e-04
1.066774958436278675e+00,1.995279859105800302e+00,4.125081858957563297e-01,1.248560915456353504e+00,4.796312361099734807e-03
1.261275381077535229e+00,2.472540147841499447e+00,2.809986353983082719e+00,3.197635175031819710e+00,2.666453187651208340e-02
2.286878335929105888e-02,6.330066195313545363e-02,1.904088133339074007e+00,1.046079880091969283e+00,2.847396616788290503e-05
1.904142694271816039e+00,1.405996948951382830e+00,3.841956067270561048e-01,3.751000799176491984e+00,1.055247304740087157e-03
2.854111387120052523e+00,2.197307626057833030e+00,3.285440279483263559e+00,1.832744874646868416e+00,1.898744187512652407e-02
3.835294487172684619e+00,1.861057620000919011e+00,3.755474793985802417e+00,3.072707510154197408e+00,8.449805689290797520e-03
2.249451987276772424e+00,3.918845136973619248e+00,1.519948180185166864e+00,1.904263488117587055e+00,4.037979728299092436e-02
3.872288478674218659e+00,1.036865033695316685e+00,3.554116594222570313e+00,3.990006690667491807e+00,2.083781764388688458e-03
1.496755733344492079e+00,3.900280365040020847e-01,1.105778943423174621e+00,7.116053187317558093e-01,4.485395033819088249e-04
2.231000039537877289e+00,5.270136863781169634e-01,4.715611863013662308e-01,2.940232315147911279e+00,1.958337824113099150e-04
1.217121992711988954e+00,2.981413219060077058e+00,2.435711378288880180e+00,2.212313346338856235e+00,4.389034664442924977e-02
8.647711276972279704e-01,6.253224905869383399e-01,1.860852530681563533e+00,3.860391636261555792e+00,1.231664993455946567e-03
7.160083582008268666e-01,1.657109235969867589e+00,2.425756636737616656e+00,4.981358921531768569e-02,2.106181243974004219e-02
1.455147573117582915e+00,3.223106923624503128e+00,2.500949284895490621e+00,7.035400369538677978e-01,6.161703953324343397e-02
2.670885752546607428e+00,1.405594705491322316e-01,2.614765595205176041e+00,2.863445689449644949e+00,5.787774735638921936e-05
7.767011993545288595e-01,3.294558470865904365e+00,1.541112217682117480e+00,1.762390072564981036e+00,4.608820353014785737e-02
2.130277760658703556e+00,3.084686170601238064e+00,9.146416103647818652e-01,3.227649978459101732e+00,1.237268899195636054e-02
3.565679237578250671e+00,2.537344006788623041e+00,3.170070685097899243e+00,3.395774332059150691e+00,1.451034354198149981e-02
6.625121630773282977e-01,3.990482884153429555e-01,1.255373479873900466e+00,3.060882319613630997e+00,4.482043627581790797e-04
1.632111490301665802e+00,2.643717437102858892e+00,5.422341595485984378e-01,7.152896254163910728e-01,9.964896669303368801e-03
2.438860577152980547e+00,3.572435192187038311e+00,2.727504625920618153e-01,1.651137012794920145e-01,7.606374824991720719e-03
3.187668384654388731e+00,3.137409106393384661e+00,2.789210679989920560e+00,2.759516358726236795e+00,2.636600062343740988e-02
2.358748599612781938e+00,1.275143419132561906e+00,2.193610786552421921e+00,1.308655993030051423e+00,6.176588804643589822e-03
2.076755469310051616e+00,1.743847794865466538e-01,2.155639155213861180e+00,4.139738537187044320e-01,1.380980613664099376e-04
3.756066821907575903e+00,2.105540726585847455e+00,1.002318672910796016e+00,2.913734353165851498e+00,4.133366368019733908e-03
1.948246156724792399e+00,1.195503916823362989e+00,1.875542812169855411e+00,2.795315418168865307e+00,4.107319683177285477e-03
1.585571477325716572e+00,1.851918594048739708e+00,3.114126475306200792e+00,2.485433162947511043e+00,1.685618074473783923e-02
2.497860559524231139e+00,3.865284706500679235e+00,3.446455553794832039e+00,3.239942420557931912e-01,8.207011176886656878e-02
3.215347535164124526e+00,2.763143345413576757e+00,2.276402588045581155e+00,3.417957017062072111e+00,1.525038478922370946e-02
2.828579444112270469e+00,8.921412921703018029e-01,4.591714898829185043e-01,2.053402755765409538e+00,5.486834141191163907e-04
3.689161042037320648e+00,5.063581915965963409e-01,6.587965088916163392e-01,7.420276843154907098e-01,2.379161599771938628e-04
2.015571096628157588e-01,2.783804765166627337e+00,3.067838388022041229e+00,3.675753067495777238e+00,4.429930698418673568e-02
9.873264592173648380e-01,2.790982871670193877e+00,3.190876246334474864e+00,3.107360668522422209e+00,4.066501110761275295e-02
1.863729855297145521e+00,3.971854108410897144e+00,1.652378262729639058e+00,3.383055257737111354e+00,3.681547137970912070e-02
2.019631175056610495e+00,3.462929156850647949e+00,2.965058840406130436e+00,2.804202265308581854e+00,4.695138075820700502e-02
1.155473135906186499e-01,9.903242156029844201e-02,6.195962579289882033e-01,3.025014869983693622e+00,1.674532765356198332e-05
1.466527432414646226e+00,3.051808734053429450e+00,2.748175011477511198e+00,1.997222297795930412e+00,4.832481288498405997e-02
1.393316862540656231e+00,2.132957348207758841e+00,9.501201952414244367e-01,2.893834184621354999e-01,1.249452349761388456e-02
1.060648489117603122e+00,1.988687690992768431e+00,2.045691274781678004e+00,3.784530822430165031e+00,1.286744461781326107e-02
2.862393957732096261e+00,4.888855365922369356e-01,4.859976460083570982e-01,2.007352877316532780e+00,1.740093822961831071e-04
3.725598207556712893e+00,3.696420607922584534e+00,1.994402175297140145e+00,2.582611284399781937e+00,2.533048168393892130e-02
2.721099263440302618e+00,2.014528448134022653e+00,1.061398002851041911e+00,3.944675847165416638e+00,4.381169138584982761e-03
1.485293290105342168e+00,2.657753513731829109e+00,1.595518472339843896e+00,1.866884520886206822e+00,2.452900422800503508e-02
5.712682291497971354e-01,3.530634099676781990e+00,2.136340414541174404e+00,2.765286945567398735e+00,6.043451465676699663e-02
2.188729150528887946e+00,1.584158131562741545e+00,1.721509697680231321e+00,1.094389998622094184e+00,8.511800812403484684e-03
3.247033600194462188e+00,3.595028742300478086e+00,2.489933596783849179e+00,9.954287433460072831e-01,4.311318752363896972e-02
1.751420500408052083e+00,7.020801197739522381e-01,6.995816742253403719e-02,3.665466545294956635e+00,5.126345435460403013e-05
6.502490906140437343e-02,1.637342793270784025e+00,3.195586018836430231e+00,2.263907579310655560e+00,2.208108165735384043e-02
8.296638419386065388e-02,2.123382402660374257e+00,7.133530776590628619e-01,1.936646282911502537e+00,1.114877627165690270e-02
1.215169286174718088e+00,1.787200491569078009e+00,5.756681223518036461e-01,3.636343533646179349e+00,3.198761313733230419e-03
3.860706449987271860e+00,1.719499325094520775e-02,1.880574377138880537e+00,7.698604180995445301e-01,6.804600756665905779e-07
3.178362872202753042e+00,3.852520623285045520e+00,8.783725738384214887e-01,2.160826582861667955e+00,1.698008564073401686e-02
5.858715158869226558e-01,2.279995375273793812e+00,5.816801350404370297e-01,4.719644423966862234e-01,1.114166206939234093e-02
1.362327342705121014e+00,1.485758260280172438e+00,3.807954153433306566e+00,1.341965183929902938e+00,1.589325561849203039e-02
1.095668473705931678e+00,9.804353324163194161e-01,3.417907731549725714e+00,3.568094472705432008e+00,4.569677884596623670e-03
4.080588981580080543e-01,2.062713390929874713e+00,2.271765681289569905e+00,3.439893007340199649e+00,1.960666499719277214e-02
2.541485946763647696e+00,2.284131675221085178e+00,3.490732306097612980e+00,1.828602359621028128e+00,2.330485567491709722e-02
3.368289301683957238e+00,8.499583720124010977e-01,1.158083373481476830e+00,2.888162089025632984e+00,8.706830773368602486e-04
2.197445716214396327e+00,3.684779156232590669e+00,1.041080638337740227e+00,1.443050460307651495e+00,2.780346265780220608e-02
1.192172896639042579e+00,8.056819616106879467e-01,2.838482420442187681e+00,1.273074692785045037e-01,4.778424848339837480e-03
3.776953740209582300e+00,3.260956554050482570e+00,3.687926478124408991e+00,3.828883258555467961e+00,2.229035968729011288e-02
3.933183587857609798e+00,1.759809027125533776e+00,4.469208018552852102e-01,4.403300242600525216e-01,1.881501235537693132e-03
3.941219464452168086e+00,1.677397892378794220e+00,3.156019303949047838e+00,3.875783097457233151e+00,5.116063012564353758e-03
2.428113782961523359e+00,3.822293197699949019e+00,2.447540547202514460e+00,3.602003216240414751e-01,6.591622157996887554e-02
3.529241703939528740e+00,3.145077536199386792e+00,1.160229994958428268e-01,1.966957474365655711e+00,1.427618761966105085e-03
3.163634543694734180e+00,3.186858956988016800e+00,7.599185845536390316e-01,3.885240911131397912e+00,7.064771228913593014e-03
2.240347800496102604e+00,2.253489303324921256e+00,1.072592564421909644e+00,5.255737995621964087e-01,1.187123562318763773e-02
2.308190023589741013e+00,2.884812467619648046e+00,1.607884968812096194e+00,2.549890832777176097e+00,1.987619728531661578e-02
3.843270264875429554e+00,2.161103980138783243e+00,3.774451189830367426e+00,1.163155407436580635e+00,1.632687626922317906e-02
2.169397131767487164e+00,1.191390266528745467e+00,2.417398459089863838e+00,2.988387181888277677e+00,4.451807322811737744e-03
2.704675945750588451e+00,3.290488695442097544e-01,1.377338919997153521e+00,3.964719881777944099e+00,1.485831721234033228e-04
1.431133418130039248e+00,1.043720113055914167e+00,3.846161495595553426e+00,2.904947882018838357e+00,5.734223497958481838e-03
1.729048462012458431e+00,5.596239930621439429e-01,2.544707218325605425e+00,9.526594239156570554e-01,1.681786240164629938e-03
3.883347200353254980e+00,2.288761592695687241e+00,1.036988370957141914e+00,1.052598952336222027e+00,6.820353146307859410e-03
9.134141822635138963e-01,1.565339919385174028e+00,1.764431849006534936e+00,2.523721699772508487e+00,9.674475051390827446e-03
2.941369851306468775e+00,7.694359365787687421e-01,2.324574735812168669e+00,2.579986087024777608e-01,2.224553993590075874e-03
8.836462103186688566e-01,3.547158220336711909e-01,1.191423764865326529e+00,2.474302472119691121e+00,3.581877582226816259e-04
3.058152747924070547e-01,2.419930059571131054e+00,1.180957755115036978e+00,2.424226338445104822e+00,1.986994035624384258e-02
2.629063341034141299e+00,1.342636810402086933e-01,2.386497714183376306e+00,2.459476833405447760e+00,5.462756357066333947e-05
2.688760765985839463e+00,1.866672890135670171e+00,2.410951908426402834e+00,1.699282730871192193e+00,1.207670656494995616e-02
6.284562572187302187e-01,1.594612374741374294e+00,3.469682873536182655e+00,1.524261923418703146e+00,2.116918741839947729e-02
2.473118147287631796e+00,3.790817162696553666e+00,7.216941773077304445e-01,6.093279432918962124e-01,2.128695063647090616e-02
3.296723525815873135e+00,1.573244141906744442e+00,6.079735069605840363e-03,2.062728960516034604e+00,1.972090733190450239e-05
1.180165379219772159e+00,1.773483421766088197e+00,2.852243529436824687e+00,4.201325960387440883e-01,2.276800324211742180e-02
2.809370330432742424e+00,4.598519307226102693e-01,2.313428799730058716e-01,1.418040997248460888e+00,8.286405180270627416e-05
2.567330784156305334e+00,2.236417479428475019e+00,2.169413335850617575e+00,2.750022251175479604e-01,1.993496069259984710e-02
1.529927764600045537e+00,4.980194903243966853e-01,1.391608147003831342e-01,1.656097127207376563e+00,8.264628501524534025e-05
1.295328094761101001e+00,5.927758231096438291e-01,8.281770007432253111e-01,2.507177364332965896e-01,8.744276020371182867e-04
1.832847179230006063e+00,3.160057920324451600e-03,3.586191249348848586e+00,3.929958837977549635e+00,3.626326298256381982e-08
2.614435134623576573e+00,4.357473331299741570e-01,1.204229260304866322e+00,6.038891247457765787e-02,4.587241687466309613e-04
3.152098421487108837e+00,2.405990566237336203e+00,2.525543412724686743e+00,1.227932882674379611e+00,1.944102719211848393e-02
3.329144175001333306e+00,1.979488029208612276e-01,3.963407767718502672e+00,6.569952831098122559e-01,1.739852204049650397e-04
2.105150975463769392e+00,2.314546611101031992e+00,2.975433301058168389e+00,1.676098312341639529e+00,2.557151910592204286e-02
1.478176099456887993e+00,3.494764965871494100e-01,5.459655979439599349e-01,3.800485657476815771e+00,1.037667905771980353e-04
6.721816965850708758e-01,2.737097690062324951e+00,2.294798313582440574e+00,3.762225737213771293e+00,3.003938191594781107e-02
2.312813375223229606e+00,1.346741709142039722e+00,1.634153044005782540e+00,1.916647406332852022e-01,6.236234703212524023e-03
1.937861125935731454e+00,1.026572263931858631e+00,2.920178150565036823e+00,3.626057203792246497e+00,3.507702591593730729e-03
5.384316007845009189e-01,1.174349083070898914e+00,1.171993553803377663e+00,3.408687089675500381e+00,3.507483502801612019e-03
3.234972153509786397e-01,1.895390995995988259e+00,5.099685438316748920e-01,3.543307048852496699e+00,4.255724238256629495e-03
3.621676626280804889e+00,1.965158553554874343e+00,8.599482289359204612e-02,2.125188774331763675e+00,3.900137312573714768e-04
1.606219238705929531e+00,1.641034902427666253e+00,1.115527701054384480e+00,9.034545943263625478e-01,7.575509711619693096e-03
